TradeDate,ClosePrice,Volume,OpenPrice,HighPrice,LowPrice
2025-07-03,159.34,143716100.00,158.37,160.98,157.77
2025-07-02,157.25,171224100.00,152.98,157.60,152.97
2025-07-01,153.30,213143600.00,156.29,157.20,151.49
2025-06-30,157.99,194580300.00,158.40,158.66,155.96
2025-06-27,157.75,263234500.00,156.04,158.71,155.26
2025-06-26,155.02,198145700.00,155.98,156.72,154.00
2025-06-25,154.31,269146500.00,149.27,154.45,149.26
2025-06-24,147.90,187566100.00,145.56,147.96,145.50
2025-06-23,144.17,154308900.00,142.50,144.78,142.03
2025-06-20,143.85,242956200.00,145.45,146.20,142.65
2025-06-18,145.48,161494100.00,144.01,145.65,143.12
2025-06-17,144.12,139108000.00,144.49,145.22,143.78
2025-06-16,144.69,183133700.00,143.35,146.18,143.20
2025-06-13,141.97,180820600.00,142.48,143.58,140.86
2025-06-12,145.00,162365000.00,141.97,145.00,141.85
2025-06-11,142.83,167694000.00,144.61,144.99,141.87
2025-06-10,143.96,155881900.00,142.69,144.29,141.53
2025-06-09,142.63,185114500.00,143.19,145.00,141.94
2025-06-06,141.72,153986200.00,142.51,143.27,141.51
2025-06-05,139.99,232410800.00,142.17,144.00,138.83
2025-06-04,141.92,167120800.00,142.19,142.39,139.55
2025-06-03,141.22,225578800.00,138.78,142.00,137.95
2025-06-02,137.38,197663100.00,135.49,138.12,135.40
2025-05-30,135.13,333170900.00,138.72,139.62,132.92
2025-05-29,139.19,370615200.00,142.25,143.49,137.91
2025-05-28,134.81,304021100.00,136.03,137.25,134.79
2025-05-27,135.50,192953600.00,134.15,135.66,133.31
2025-05-23,131.29,198821300.00,130.00,132.68,129.16
2025-05-22,132.83,187344000.00,132.23,134.25,131.55
2025-05-21,131.80,270608700.00,133.06,137.40,130.59
2025-05-20,134.38,161514200.00,134.29,134.58,132.62
2025-05-19,135.57,193154600.00,132.39,135.87,132.39
2025-05-16,135.40,226542500.00,136.22,136.35,133.46
2025-05-15,134.83,226632600.00,134.30,136.30,132.66
2025-05-14,135.34,281180800.00,133.20,135.44,131.68
2025-05-13,129.93,330430100.00,124.98,131.22,124.47
2025-05-12,123.00,225023300.00,121.97,123.00,120.28
2025-05-09,116.65,132972200.00,117.35,118.23,115.21
2025-05-08,117.37,198428100.00,118.25,118.68,115.85
2025-05-07,117.06,207827800.00,113.05,117.68,112.28
2025-05-06,113.54,158525600.00,111.48,114.74,110.82
2025-05-05,113.82,133163200.00,112.91,114.67,112.66
2025-05-02,114.50,190194800.00,114.18,115.40,113.37
2025-05-01,111.61,236121500.00,113.08,114.94,111.30
2025-04-30,108.92,235044600.00,104.47,108.92,104.08
2025-04-29,109.02,170444300.00,107.67,110.20,107.44
2025-04-28,108.73,207708500.00,109.69,110.37,106.02
2025-04-25,111.01,251064700.00,106.85,111.92,105.73
2025-04-24,106.43,220815000.00,103.48,106.54,103.11
2025-04-23,102.71,247526000.00,104.52,104.80,102.02
2025-04-22,98.89,241004800.00,98.78,99.81,97.28
2025-04-21,96.91,288501100.00,98.77,99.44,95.04
2025-04-17,101.49,292517500.00,104.45,104.47,100.05
2025-04-16,104.49,397016900.00,104.55,106.79,100.45
2025-04-15,112.20,228966900.00,110.97,113.62,110.50
2025-04-14,110.71,264705000.00,114.11,114.29,109.07
2025-04-11,110.93,313417300.00,108.50,111.55,107.48
2025-04-10,107.57,437812400.00,109.37,110.86,99.15
2025-04-09,114.33,612918300.00,98.89,115.10,97.53
2025-04-08,96.30,476243400.00,103.81,105.85,94.46
2025-04-07,97.64,611041300.00,87.46,101.75,86.62
2025-04-04,94.31,532273800.00,98.91,100.13,92.11
2025-04-03,101.80,338769400.00,103.51,105.63,101.60
2025-04-02,110.42,220601200.00,107.29,111.98,106.79
2025-04-01,110.15,222614000.00,108.52,110.20,106.47
2025-03-31,108.38,299212700.00,105.13,110.96,103.65
2025-03-28,109.67,229872500.00,111.49,112.87,109.07
2025-03-27,111.43,236902100.00,111.35,114.45,110.66
2025-03-26,113.76,296431700.00,118.73,118.84,112.71
2025-03-25,120.69,167447200.00,120.55,121.29,118.92
2025-03-24,121.41,228452500.00,119.88,122.22,119.34
2025-03-21,117.70,266498500.00,116.94,117.99,115.42
2025-03-20,118.53,248829700.00,116.55,120.20,116.47
2025-03-19,117.52,273426200.00,117.27,120.45,115.68
2025-03-18,115.43,299686900.00,118.00,119.02,114.54
2025-03-17,119.53,255501500.00,122.74,122.89,118.03
