Country,Code,Population
World,WLD,7761620146
China,CHN,1410929362
India,IND,1380004385
United States,USA,329484123
Indonesia,IDN,273523621
Pakistan,PAK,220892331
Brazil,BRA,212559409
Nigeria,NGA,206139587
Bangladesh,BGD,164689383
Russian Federation,RUS,144104080
Mexico,MEX,128932753
Japan,JPN,125836021
Ethiopia,ETH,114963583
Philippines,PHL,109581085
"Egypt, Arab Rep.",EGY,102334403
Central Europe and the Baltics,CEB,102253057
Vietnam,VNM,97338583
"Congo, Dem. Rep.",COD,89561404
Turkey,TUR,84339067
"Iran, Islamic Rep.",IRN,83992953
Germany,DEU,83240525
Thailand,THA,69799978
France,FRA,67391582
United Kingdom,GBR,67215293
Tanzania,TZA,59734213
Italy,ITA,59554023
South Africa,ZAF,59308690
Myanmar,MMR,54409794
Kenya,KEN,53771300
"Korea, Rep.",KOR,51780579
Colombia,COL,50882884
Spain,ESP,47351567
Uganda,UGA,45741000
Argentina,ARG,45376763
Ukraine,UKR,44134693
Algeria,DZA,43851043
Sudan,SDN,43849269
Small states,SST,41912623
Iraq,IRQ,40222503
Afghanistan,AFG,38928341
Canada,CAN,38005238
Poland,POL,37950802
Morocco,MAR,36910558
Saudi Arabia,SAU,34813867
Uzbekistan,UZB,34232050
Peru,PER,32971846
Angola,AGO,32866268
Malaysia,MYS,32365998
Other small states,OSS,31941374
Mozambique,MOZ,31255435
Ghana,GHA,31072945
"Yemen, Rep.",YEM,29825968
Nepal,NPL,29136808
"Venezuela, RB",VEN,28435943
Madagascar,MDG,27691019
Cameroon,CMR,26545864
Cote d'Ivoire,CIV,26378275
"Korea, Dem. People's Rep.",PRK,25778815
Australia,AUS,25687041
Niger,NER,24206636
Sri Lanka,LKA,21919000
Burkina Faso,BFA,20903278
Mali,MLI,20250834
Romania,ROU,19286123
Malawi,MWI,19129955
Chile,CHL,19116209
Kazakhstan,KAZ,18754440
Zambia,ZMB,18383956
Ecuador,ECU,17643060
Syrian Arab Republic,SYR,17500657
Netherlands,NLD,17441139
Guatemala,GTM,16858333
Senegal,SEN,16743930
Cambodia,KHM,16718971
Chad,TCD,16425859
Somalia,SOM,15893219
Zimbabwe,ZWE,14862927
Guinea,GIN,13132792
Rwanda,RWA,12952209
Benin,BEN,12123198
Burundi,BDI,11890781
Tunisia,TUN,11818618
Bolivia,BOL,11673029
Belgium,BEL,11555997
Haiti,HTI,11402533
Cuba,CUB,11326616
South Sudan,SSD,11193729
Dominican Republic,DOM,10847904
Greece,GRC,10715549
Czech Republic,CZE,10698896
Sweden,SWE,10353442
Portugal,PRT,10305564
Jordan,JOR,10203140
Azerbaijan,AZE,10093121
Honduras,HND,9904608
United Arab Emirates,ARE,9890400
Hungary,HUN,9749763
Tajikistan,TJK,9537642
Belarus,BLR,9379952
Israel,ISR,9216900
Papua New Guinea,PNG,8947027
Austria,AUT,8917205
Switzerland,CHE,8636896
Togo,TGO,8278737
Sierra Leone,SLE,7976985
